"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C57","CAP_1005-0402","74.9935mm","55.1815mm","74.9935mm","55.1815mm","75.4935mm","55.1815mm","T","180.00","CapC-0402-100nF"
"C49","Cap_1608-0603","72.7535mm","35.8775mm","72.7535mm","35.8775mm","72.7535mm","35.0275mm","T","90.00","CapC-0603-1uF 50V"
"C52","CAP_EL_PANASONIC","77.216mm","37.2483mm","77.216mm","34.798mm","77.216mm","39.6486mm","T","360.00","CapE-6.3-100uF-35V"
"C55","CAP_1005-0402","70.739mm","53.9115mm","70.739mm","53.9115mm","70.239mm","53.9115mm","T","360.00","CapC-0402-470nF"
"C47","CAP_1005-0402","68.453mm","39.243mm","68.453mm","39.243mm","67.953mm","39.243mm","T","360.00","CapC-0402-100nF"
"C53","CAP_1005-0402","65.278mm","39.243mm","65.278mm","39.243mm","64.778mm","39.243mm","T","360.00","CapC-0402-100nF-50V"
"U9","TQFP80P1200X1200X160-44N","68.072mm","46.5455mm","68.072mm","46.5455mm","73.772mm","42.5455mm","T","180.00","TMC2660"
"U8","TQFP80P1200X1200X160-44N","49.53mm","46.5455mm","49.53mm","46.5455mm","55.23mm","42.5455mm","T","180.00","TMC2660"
"C37","CAP_1005-0402","46.736mm","39.243mm","46.736mm","39.243mm","46.236mm","39.243mm","T","360.00","CapC-0402-100nF-50V"
"C29","CAP_1005-0402","49.911mm","39.243mm","49.911mm","39.243mm","49.411mm","39.243mm","T","360.00","CapC-0402-100nF"
"C40","CAP_1005-0402","52.197mm","53.9115mm","52.197mm","53.9115mm","51.697mm","53.9115mm","T","360.00","CapC-0402-470nF"
"C50","CAP_EL_PANASONIC","58.674mm","37.2483mm","58.674mm","34.798mm","58.674mm","39.6486mm","T","360.00","CapE-6.3-100uF-35V"
"C34","Cap_1608-0603","54.1655mm","35.8775mm","54.1655mm","35.8775mm","54.1655mm","35.0275mm","T","90.00","CapC-0603-1uF 50V"
"C43","CAP_1005-0402","56.4515mm","55.1815mm","56.4515mm","55.1815mm","56.9515mm","55.1815mm","T","180.00","CapC-0402-100nF"
"C46","CAP_1005-0402","42.672mm","55.1815mm","42.672mm","55.1815mm","42.172mm","55.1815mm","T","360.00","CapC-0402-100nF"
"R70","RESC1005X40N","54.6735mm","53.9115mm","54.6735mm","53.9115mm","54.1735mm","53.9115mm","T","360.00","Res-0402-22R"
"R71","Res_3216-1206","57.3405mm","50.9905mm","57.3405mm","50.9905mm","57.3405mm","52.4405mm","T","270.00","Res-1206-0R05"
"R76","RESC1005X40N","44.45mm","53.9115mm","44.45mm","53.9115mm","44.95mm","53.9115mm","T","180.00","Res-0402-22R"
"R77","Res_3216-1206","41.7195mm","50.9905mm","41.7195mm","50.9905mm","41.7195mm","52.4405mm","T","270.00","Res-1206-0R05"
"Z-MOTOR","HDR2X4-HEADER","49.5199mm","57.398mm","53.33mm","58.668mm","53.3299mm","58.668mm","T","180.00","Header 4X2"
"Z-STOP","HDR1X3-HEADER","58.41mm","58.668mm","55.87mm","58.668mm","55.87mm","58.668mm","T","360.00","Header 3"
"R73","Res_3216-1206","4.572mm","50.8mm","4.572mm","50.8mm","4.572mm","52.25mm","T","270.00","Res-1206-0R05"
"C27","CAP_1005-0402","12.827mm","39.243mm","12.827mm","39.243mm","12.327mm","39.243mm","T","360.00","CapC-0402-100nF"
"C38","CAP_1005-0402","15.113mm","53.9115mm","15.113mm","53.9115mm","14.613mm","53.9115mm","T","360.00","CapC-0402-470nF"
"C31","CAP_EL_PANASONIC","21.59mm","37.2483mm","21.59mm","34.798mm","21.59mm","39.6486mm","T","360.00","CapE-6.3-100uF-35V"
"C30","Cap_1608-0603","17.0815mm","35.8775mm","17.0815mm","35.8775mm","17.0815mm","35.0275mm","T","90.00","CapC-0603-1uF 50V"
"C35","CAP_1005-0402","9.652mm","39.243mm","9.652mm","39.243mm","9.152mm","39.243mm","T","360.00","CapC-0402-100nF-50V"
"C41","CAP_1005-0402","19.3675mm","55.1815mm","19.3675mm","55.1815mm","19.8675mm","55.1815mm","T","180.00","CapC-0402-100nF"
"C44","CAP_1005-0402","5.715mm","53.848mm","5.715mm","53.848mm","5.215mm","53.848mm","T","360.00","CapC-0402-100nF"
"R66","RESC1005X40N","17.5895mm","53.9115mm","17.5895mm","53.9115mm","17.0895mm","53.9115mm","T","360.00","Res-0402-22R"
"R67","Res_3216-1206","20.2565mm","50.9905mm","20.2565mm","50.9905mm","20.2565mm","52.4405mm","T","270.00","Res-1206-0R05"
"R72","RESC1005X40N","8.128mm","53.848mm","8.128mm","53.848mm","8.628mm","53.848mm","T","180.00","Res-0402-22R"
"U6","TQFP80P1200X1200X160-44N","12.446mm","46.5455mm","12.446mm","46.5455mm","18.146mm","42.5455mm","T","180.00","TMC2660"
"X-MOTOR","HDR2X4-HEADER","12.4359mm","57.398mm","16.246mm","58.668mm","16.2459mm","58.668mm","T","180.00","Header 4X2"
"X-STOP","HDR1X3-HEADER","21.326mm","58.668mm","18.786mm","58.668mm","18.786mm","58.668mm","T","360.00","Header 3"
"Y-STOP","HDR1X3-HEADER","39.868mm","58.668mm","37.328mm","58.668mm","37.328mm","58.668mm","T","360.00","Header 3"
"Y-MOTOR","HDR2X4-HEADER","30.9779mm","57.398mm","34.788mm","58.668mm","34.7879mm","58.668mm","T","180.00","Header 4X2"
"U7","TQFP80P1200X1200X160-44N","30.988mm","46.5455mm","30.988mm","46.5455mm","36.688mm","42.5455mm","T","180.00","TMC2660"
"R75","Res_3216-1206","23.1775mm","50.9905mm","23.1775mm","50.9905mm","23.1775mm","52.4405mm","T","270.00","Res-1206-0R05"
"R74","RESC1005X40N","25.908mm","53.9115mm","25.908mm","53.9115mm","26.408mm","53.9115mm","T","180.00","Res-0402-22R"
"R69","Res_3216-1206","38.7985mm","50.9905mm","38.7985mm","50.9905mm","38.7985mm","52.4405mm","T","270.00","Res-1206-0R05"
"R68","RESC1005X40N","36.1315mm","53.9115mm","36.1315mm","53.9115mm","35.6315mm","53.9115mm","T","360.00","Res-0402-22R"
"C45","CAP_1005-0402","24.13mm","55.1815mm","24.13mm","55.1815mm","23.63mm","55.1815mm","T","360.00","CapC-0402-100nF"
"C42","CAP_1005-0402","37.9095mm","55.1815mm","37.9095mm","55.1815mm","38.4095mm","55.1815mm","T","180.00","CapC-0402-100nF"
"C32","Cap_1608-0603","35.6695mm","35.8775mm","35.6695mm","35.8775mm","35.6695mm","35.0275mm","T","90.00","CapC-0603-1uF 50V"
"C33","CAP_EL_PANASONIC","40.132mm","37.2483mm","40.132mm","34.798mm","40.132mm","39.6486mm","T","360.00","CapE-6.3-100uF-35V"
"C39","CAP_1005-0402","33.655mm","53.9115mm","33.655mm","53.9115mm","33.155mm","53.9115mm","T","360.00","CapC-0402-470nF"
"C28","CAP_1005-0402","31.369mm","39.243mm","31.369mm","39.243mm","30.869mm","39.243mm","T","360.00","CapC-0402-100nF"
"U5","SOT229P700X180-4N","70.4215mm","29.1465mm","70.4215mm","29.1465mm","67.4965mm","29.1465mm","T","180.00","AP2114H-3.3TRG1"
"R62","RESC1005X40N","82.669mm","24.003mm","82.669mm","24.003mm","82.669mm","24.503mm","T","270.00","Res-0402-1K"
"C17","Cap_1608-0603","81.9mm","12.5mm","81.9mm","12.5mm","81.05mm","12.5mm","T","360.00","CapC-0603-1uF 50V"
"C36","CAP_1005-0402","28.194mm","39.243mm","28.194mm","39.243mm","27.694mm","39.243mm","T","360.00","CapC-0402-100nF-50V"
"R24","RESC1005X40N","44.831mm","15.113mm","44.831mm","15.113mm","44.831mm","15.613mm","T","270.00","Res-0402-1K"
"R25","RESC1005X40N","46.101mm","15.113mm","46.101mm","15.113mm","46.101mm","15.613mm","T","270.00","Res-0402-100K"
"R21","RESC1005X40N","47.371mm","15.113mm","47.371mm","15.113mm","47.371mm","15.613mm","T","270.00","Res-0402-10R"
"Q1","SOT23-3_New","46.101mm","11.938mm","46.101mm","11.938mm","47.051mm","13.088mm","T","270.00","MOSFET - AO3400A"
"LD1","LED_1608-0603","46.101mm","17.018mm","46.101mm","17.018mm","45.251mm","17.018mm","T","360.00","GREEN"
"Q5","LFPACK","88.151mm","15.5004mm","84.5mm","17.4049mm","84.5mm","13.595mm","T","270.00","PSMN1R8-40YLC"
"HE0","TERM2_3.5mm","46.455mm","6mm","48.205mm","6mm","48.205mm","6mm","T","180.00","Screw Terminal 3.5mm 2-Way"
"LD3","LED_1608-0603","49.911mm","17.018mm","49.911mm","17.018mm","49.061mm","17.018mm","T","360.00","GREEN"
"Q3","SOT23-3_New","49.911mm","11.938mm","49.911mm","11.938mm","50.861mm","13.088mm","T","270.00","MOSFET - AO3400A"
"R31","RESC1005X40N","51.181mm","15.113mm","51.181mm","15.113mm","51.181mm","15.613mm","T","270.00","Res-0402-10R"
"R33","RESC1005X40N","49.911mm","15.113mm","49.911mm","15.113mm","49.911mm","15.613mm","T","270.00","Res-0402-100K"
