"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R38","RESC1005X40N","12.1mm","11.1mm","12.1mm","11.1mm","11.6mm","11.1mm","T","360.00","Res-0402-22R"
"R35","RESC1005X40N","12.1mm","12.8mm","12.1mm","12.8mm","11.6mm","12.8mm","T","360.00","Res-0402-22R"
"R17","RESC1005X40N","18.3mm","31.55mm","18.3mm","31.55mm","18.3mm","32.05mm","T","270.00","Res-0402-1K"
"R16","RESC1005X40N","17.1mm","31.55mm","17.1mm","31.55mm","17.1mm","32.05mm","T","270.00","Res-0402-1K"
"R14","RESC1005X40N","17.05mm","18.85mm","17.05mm","18.85mm","17.05mm","19.35mm","T","270.00","Res-0402-10K"
"R13","RESC1005X40N","18.25mm","18.85mm","18.25mm","18.85mm","18.25mm","19.35mm","T","270.00","Res-0402-10K"
"R27","RESC1005X40N","54.1mm","30.225mm","54.1mm","30.225mm","54.1mm","29.725mm","T","90.00","Res-0402-10K"
"R3","RESC1005X40N","13.962mm","17.78mm","13.962mm","17.78mm","14.462mm","17.78mm","T","180.00","Res-0402-10K"
"R54","RESC1005X40N","58.8mm","55mm","58.8mm","55mm","58.8mm","54.5mm","T","90.00","Res-0402-1K"
"R30","RESC1005X40N","46.228mm","34.5mm","46.228mm","34.5mm","46.228mm","34mm","T","90.00","Res-0402-10K"
"R53","RESC1005X40N","40.25mm","55mm","40.25mm","55mm","40.25mm","54.5mm","T","90.00","Res-0402-1K"
"R51","RESC1005X40N","21.7mm","55mm","21.7mm","55mm","21.7mm","54.5mm","T","90.00","Res-0402-1K"
"R1","RESC1005X40N","17.15mm","27.65mm","17.15mm","27.65mm","17.15mm","27.15mm","T","90.00","Res-0402-47K"
"R61","RESC1005X40N","41.4mm","29.45mm","41.4mm","29.45mm","41.9mm","29.45mm","T","180.00","Res-0402-1K"
"R60","RESC1005X40N","69.3215mm","19.38mm","69.3215mm","19.38mm","69.8215mm","19.38mm","T","180.00","Res-0402-1K"
"R59","RESC1005X40N","69.3215mm","17.98mm","69.3215mm","17.98mm","69.8215mm","17.98mm","T","180.00","Res-0402-1K"
